Category,Method,Average_Score,Average_Time,Average_Result_Nodes,Num_Runs
dag301_MEDIUM,qp,1929460.988366645,161.29913233333335,3078.3333333333335,3
dag301_MEDIUM,qpbo,1735021.4707333155,1509.530213666667,3501.3333333333335,3
dag302_MEDIUM,greedy,1122778.911066604,10.592068666666668,14685.666666666666,3
dag302_MEDIUM,sghc,1316024.2107333282,164.55843066666665,11414.666666666666,3
dag302_MEDIUM,sa,1258022.4368999943,3002.263356666667,13516.333333333334,3
dag302_MEDIUM,sasa,1392260.874135013,3000.7844203333334,11971.333333333334,3
dag302_MEDIUM,qp,1349227.4004999797,802.7672593333333,11285.666666666666,3
dag302_MEDIUM,qpbo,432977.59083332913,3000.7498443333334,5028.0,3
dag303_MEDIUM,greedy,962504.8832332707,16.292579333333332,27768.333333333332,3
dag303_MEDIUM,sghc,1209365.0389333318,299.274625,20736.333333333332,3
dag303_MEDIUM,sa,1096303.7274000302,3002.284048,26383.0,3
dag303_MEDIUM,sasa,1194382.9889994701,3001.100429,24054.0,3
dag303_MEDIUM,qp,-inf,3552.236428,0.0,3
dag303_MEDIUM,qpbo,210116.5823000014,3000.6770773333333,5139.0,3
dag401_MEDIUM,greedy,1843356.5604999869,9.861043333333333,20083.666666666668,3
dag401_MEDIUM,sghc,1897392.8410333544,139.498035,18640.666666666668,3
dag401_MEDIUM,sa,1868182.2799666573,3002.002794666667,19543.333333333332,3
dag401_MEDIUM,sasa,1907857.717665704,3000.9413456666666,18905.0,3
dag401_MEDIUM,qp,1907015.3000000103,217.596456,17575.0,3
dag401_MEDIUM,qpbo,1232561.0024000043,3001.751353,13400.333333333334,3
dag402_MEDIUM,greedy,1133754.5138333153,10.515502666666665,14751.0,3
dag402_MEDIUM,sghc,1317383.2311333257,155.26579766666669,11185.333333333334,3
dag402_MEDIUM,sa,1266819.9203000078,3001.8377643333333,13826.666666666666,3
dag402_MEDIUM,sasa,1399310.4527987707,3000.981353333333,12042.0,3
dag402_MEDIUM,qp,1357772.7899000158,811.7662713333334,11416.666666666666,3
dag402_MEDIUM,qpbo,461040.70289999683,3000.974702,5287.0,3
dag403_MEDIUM,greedy,-185218.63466649692,11.664006,6942.0,3
dag403_MEDIUM,sghc,660764.9742000004,463.1566496666667,5907.0,3
dag403_MEDIUM,sa,598743.5174332601,3001.155349666667,5834.333333333333,3
dag403_MEDIUM,sasa,711137.1310628774,3000.5681223333336,4884.333333333333,3
dag403_MEDIUM,qp,-inf,2754.0174700000002,1666.6666666666667,3
dag403_MEDIUM,qpbo,9642.749866666667,1208.1286043333332,29.333333333333332,3
