Algorithm,Dataset,Time_Elapsed,Best_Value,Round,Category
sa,dag101_MEDIUM_0,1738.70969080925,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1748.7148373126984,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1758.7232582569122,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1768.733801364899,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1778.7442066669464,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1788.7505886554718,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1798.7543578147888,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1808.7644050121307,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1818.779897928238,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1828.7909626960757,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1838.7974326610563,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1848.81271982193,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1858.829538822174,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1868.844468832016,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1878.85431432724,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1888.8669991493225,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1898.883125782013,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1908.8844611644745,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1918.8872437477112,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1928.898844957352,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1938.914944410324,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1948.9421484470367,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1958.94807100296,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1968.9625313282013,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1978.980178833008,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1988.9930663108823,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,1999.0051100254057,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2009.0237498283384,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2019.0478684902191,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2029.050837278366,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2039.0977101325989,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2049.124320268631,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2059.134395599365,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2069.1487390995026,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2079.1568315029144,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2089.162348508835,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2099.170521259308,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2109.1887023448944,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2119.1953477859497,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2129.2064855098724,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2139.209800720215,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2149.222015142441,1838485.3781000008,,dag101_MEDIUM
sa,dag101_MEDIUM_0,2159.2254009246826,1838485.3781000008,,dag101_MEDIUM
