Category,Method_A,Method_B,Avg_Jaccard_Similarity
dag302_MEDIUM,sghc,sa,0.7011787735664523
dag302_MEDIUM,sghc,sasa,0.7519580008537861
dag302_MEDIUM,sghc,qp,0.706878174713163
dag302_MEDIUM,sghc,qpbo,0.30456024305154883
dag302_MEDIUM,sa,greedy,0.8025560757075302
dag302_MEDIUM,sa,sghc,0.7011787735664523
dag302_MEDIUM,sa,sa,1.0
dag302_MEDIUM,sa,sasa,0.7538765415015627
dag302_MEDIUM,sa,qp,0.6469165580626614
dag302_MEDIUM,sa,qpbo,0.2690277981163958
dag302_MEDIUM,sasa,greedy,0.6992130776277823
dag302_MEDIUM,sasa,sghc,0.7519580008537861
dag302_MEDIUM,sasa,sa,0.7538765415015627
dag302_MEDIUM,sasa,sasa,1.0
dag302_MEDIUM,sasa,qp,0.727479819438158
dag302_MEDIUM,sasa,qpbo,0.2986089177807882
dag302_MEDIUM,qp,greedy,0.5930322535141251
dag302_MEDIUM,qp,sghc,0.706878174713163
dag302_MEDIUM,qp,sa,0.6469165580626614
dag302_MEDIUM,qp,sasa,0.727479819438158
dag302_MEDIUM,qp,qp,1.0
dag302_MEDIUM,qp,qpbo,0.316810356635609
dag302_MEDIUM,qpbo,greedy,0.2601518685240374
dag302_MEDIUM,qpbo,sghc,0.30456024305154883
dag302_MEDIUM,qpbo,sa,0.2690277981163958
dag302_MEDIUM,qpbo,sasa,0.2986089177807882
dag302_MEDIUM,qpbo,qp,0.316810356635609
dag302_MEDIUM,qpbo,qpbo,1.0
dag303_MEDIUM,greedy,greedy,1.0
dag303_MEDIUM,greedy,sghc,0.6321531606164194
dag303_MEDIUM,greedy,sa,0.844575357464866
dag303_MEDIUM,greedy,sasa,0.759081316417575
dag303_MEDIUM,greedy,qp,0.0
dag303_MEDIUM,greedy,qpbo,0.14567709238552096
dag303_MEDIUM,sghc,greedy,0.6321531606164194
dag303_MEDIUM,sghc,sghc,1.0
dag303_MEDIUM,sghc,sa,0.6786065066717083
dag303_MEDIUM,sghc,sasa,0.7231213037921268
dag303_MEDIUM,sghc,qp,0.0
dag303_MEDIUM,sghc,qpbo,0.18270708584160414
dag303_MEDIUM,sa,greedy,0.844575357464866
dag303_MEDIUM,sa,sghc,0.6786065066717083
dag303_MEDIUM,sa,sa,1.0
dag303_MEDIUM,sa,sasa,0.8357298997121134
dag303_MEDIUM,sa,qp,0.0
dag303_MEDIUM,sa,qpbo,0.14889864014096632
dag303_MEDIUM,sasa,greedy,0.759081316417575
dag303_MEDIUM,sasa,sghc,0.7231213037921268
dag303_MEDIUM,sasa,sa,0.8357298997121134
dag303_MEDIUM,sasa,sasa,1.0
dag303_MEDIUM,sasa,qp,0.0
dag303_MEDIUM,sasa,qpbo,0.15966343125563795
dag303_MEDIUM,qp,greedy,0.0
dag303_MEDIUM,qp,sghc,0.0
dag303_MEDIUM,qp,sa,0.0
dag303_MEDIUM,qp,sasa,0.0
dag303_MEDIUM,qp,qp,0.0
dag303_MEDIUM,qp,qpbo,0.0
dag303_MEDIUM,qpbo,greedy,0.14567709238552096
dag303_MEDIUM,qpbo,sghc,0.18270708584160414
dag303_MEDIUM,qpbo,sa,0.14889864014096632
