source,target,cost
219,325,0.0
219,337,0.0
219,1345,0.0
219,73867,0.0
232,1348,0.0
232,1751,0.0
232,4138,0.0
232,8637,0.0
232,8640,0.0
232,8642,0.0
232,8852,0.0
236,41191,0.0
236,42429,0.0
236,42441,0.0
236,42453,0.0
236,42465,0.0
236,42605,0.0
236,42642,0.0
236,78038,0.0
237,41191,0.0
237,42441,0.0
237,42453,0.0
237,42465,0.0
237,42605,0.0
237,42642,0.0
242,14973,0.0
242,18132,0.0
242,88328,0.0
242,98516,0.0
242,108828,0.0
242,110807,0.0
243,98516,0.0
244,14973,0.0
244,18132,0.0
244,88328,0.0
244,98516,0.0
244,108828,0.0
244,110807,0.0
245,1369,0.0
245,14973,0.0
245,88328,0.0
245,98516,0.0
245,108828,0.0
245,110807,0.0
246,14973,0.0
246,18132,0.0
246,88328,0.0
246,98516,0.0
246,108828,0.0
247,14973,0.0
247,18132,0.0
247,88328,0.0
247,108828,0.0
247,110807,0.0
247,110815,0.0
248,14973,0.0
248,14974,0.0
248,18132,0.0
248,88328,0.0
248,98516,0.0
248,108828,0.0
248,110807,0.0
249,107617,0.0
249,107629,0.0
249,107989,0.0
249,110120,0.0
249,110125,0.0
249,110126,0.0
249,110647,0.0
250,107617,0.0
250,107629,0.0
250,107989,0.0
250,110120,0.0
250,110125,0.0
250,110126,0.0
250,110647,0.0
251,107617,0.0
251,107629,0.0
251,107989,0.0
251,110120,0.0
251,110125,0.0
251,110126,0.0
252,107617,0.0
252,107629,0.0
252,107989,0.0
252,110120,0.0
252,110125,0.0
252,110647,0.0
253,107617,0.0
253,107629,0.0
253,107989,0.0
253,110120,0.0
253,110125,0.0
253,110126,0.0
253,110417,0.0
253,110647,0.0
262,113095,0.0
262,113105,0.0
262,113110,0.0
262,114479,0.0
262,118656,0.0
263,113100,0.0
263,113105,0.0
263,114479,0.0
282,1880,0.0
282,2490,0.0
282,2496,0.0
282,9159,0.0
282,22596,0.0
282,34088,0.0
283,53670,0.0
283,78193,0.0
283,86194,0.0
284,17787,0.0
284,51682,0.0
284,51683,0.0
284,116953,0.0
286,284,0.0
286,323,0.0
286,34584,0.0
286,34770,0.0
286,97555,0.0
286,115790,0.0
290,1880,0.0
290,1881,0.0
290,2490,0.0
290,2496,0.0
290,9159,0.0
290,22596,0.0
290,34088,0.0
292,74186,0.0
292,78093,0.0
292,105658,0.0
292,108265,0.0
292,108582,0.0
292,109327,0.0
292,120714,0.0
292,120717,0.0
298,2516,0.0
298,22504,0.0
298,51823,0.0
298,94963,0.0
300,39793,0.0
300,40470,0.0
300,40471,0.0
300,105316,0.0
300,112529,0.0
301,45554,0.0
301,93107,0.0
301,93111,0.0
301,95691,0.0
301,97582,0.0
302,311,0.0
302,2374,0.0
302,2741,0.0
302,45921,0.0
302,46892,0.0
303,301,0.0
303,307,0.0
303,1562,0.0
303,44286,0.0
303,44292,0.0
303,95709,0.0
304,301,0.0
304,307,0.0
304,1562,0.0
304,44286,0.0
304,44292,0.0
304,95709,0.0
307,1827,0.0
307,45554,0.0
307,93107,0.0
307,93111,0.0
307,95691,0.0
307,97582,0.0
310,115846,0.0
310,115858,0.0
310,115870,0.0
310,115882,0.0
310,115894,0.0
310,115906,0.0
310,115942,0.0
311,2876,0.0
311,8935,0.0
311,46725,0.0
311,47404,0.0
311,47406,0.0
311,109856,0.0
313,284,0.0
313,323,0.0
313,34584,0.0
313,34770,0.0
313,98181,0.0
313,115790,0.0
315,16313,0.0
315,23067,0.0
315,23068,0.0
315,23089,0.0
315,23189,0.0
315,23220,0.0
315,23221,0.0
317,2498,0.0
317,2947,0.0
317,3822,0.0
317,42626,0.0
317,102944,0.0
317,103060,0.0
317,118528,0.0
318,24033,0.0
318,36988,0.0
318,36989,0.0
318,36990,0.0
318,36992,0.0
318,40637,0.0
321,25941,0.0
321,26039,0.0
321,26040,0.0
323,17787,0.0
323,17867,0.0
323,51682,0.0
323,51683,0.0
323,93747,0.0
323,106577,0.0
323,116953,0.0
324,323,0.0
324,34584,0.0
324,34770,0.0
324,97555,0.0
324,98181,0.0
325,284,0.0
325,323,0.0
325,34770,0.0
325,97555,0.0
325,98181,0.0
325,115790,0.0
326,421,0.0
326,2211,0.0
326,2215,0.0
326,54241,0.0
326,83646,0.0
326,85043,0.0
326,85202,0.0
326,85234,0.0
329,54822,0.0
329,88605,0.0
329,88621,0.0
329,88742,0.0
329,88905,0.0
329,94172,0.0
329,94173,0.0
333,17566,0.0
333,18686,0.0
333,80126,0.0
333,80127,0.0
333,118403,0.0
333,118426,0.0
334,17566,0.0
334,18686,0.0
334,18897,0.0
334,80126,0.0
334,80127,0.0
334,84601,0.0
334,118403,0.0
335,17566,0.0
335,18686,0.0
335,18897,0.0
335,80126,0.0
335,80127,0.0
335,84601,0.0
335,118403,0.0
336,17566,0.0
336,18686,0.0
336,18897,0.0
336,80126,0.0
336,80127,0.0
336,84601,0.0
336,118403,0.0
336,118425,0.0
337,284,0.0
337,323,0.0
337,34584,0.0
337,97555,0.0
337,98181,0.0
337,115790,0.0
408,96725,0.0
408,113815,0.0
408,113820,0.0
409,27534,0.0
409,98580,0.0
409,113817,0.0
409,113820,0.0
410,27534,0.0
410,96725,0.0
410,98580,0.0
410,113815,0.0
410,113817,0.0
410,113820,0.0
416,39351,0.0
416,103064,0.0
418,27405,0.0
418,105295,0.0
418,106407,0.0
418,106586,0.0
418,107280,0.0
418,107292,0.0
421,92642,0.0
421,97646,0.0
421,105518,0.0
421,107270,0.0
421,114178,0.0
421,116553,0.0
422,50389,0.0
422,50390,0.0
422,90237,0.0
422,93894,0.0
422,93907,0.0
422,97463,0.0
422,113569,0.0
423,50389,0.0
423,50390,0.0
423,90237,0.0
423,93894,0.0
423,93907,0.0
423,97463,0.0
423,113569,0.0
425,93162,0.0
425,113569,0.0
427,31373,0.0
427,31657,0.0
427,85925,0.0
427,105152,0.0
427,116745,0.0
430,3989,0.0
430,17502,0.0
430,17507,0.0
430,46957,0.0
432,1817,0.0
432,2468,0.0
432,23667,0.0
432,36176,0.0
432,39201,0.0
432,40536,0.0
433,22673,0.0
433,24670,0.0
433,97693,0.0
436,23744,0.0
436,102132,0.0
436,102133,0.0
436,120117,0.0
437,1413,0.0
438,135,0.0
438,136,0.0
446,1228,0.0
446,1229,0.0
446,1230,0.0
446,1231,0.0
446,14487,0.0
446,37853,0.0
447,303,0.0
447,304,0.0
447,469,0.0
447,11841,0.0
448,449,0.0
448,5712,0.0
448,11841,0.0
449,301,0.0
449,307,0.0
449,1562,0.0
449,44292,0.0
449,95709,0.0
469,301,0.0
469,307,0.0
469,1562,0.0
469,44286,0.0
469,95709,0.0
469,109146,0.0
480,482,0.0
