source,target,cost
573,95525,0.0
573,10499,0.0
573,95819,0.0
573,49882,0.0
574,10808,0.0
574,31459,0.0
574,93622,0.0
574,93623,0.0
574,94891,0.0
575,111285,0.0
575,111305,0.0
575,111306,0.0
575,111307,0.0
575,111308,0.0
575,111358,0.0
66112,68794,0.0
66112,68805,0.0
66112,68811,0.0
66112,68812,0.0
66112,68813,0.0
66112,68827,0.0
66116,61237,0.0
66116,61238,0.0
66116,61244,0.0
66116,61281,0.0
66116,61296,0.0
66121,61204,0.0
66121,61237,0.0
66121,61241,0.0
66121,61244,0.0
66121,61281,0.0
66121,61296,0.0
589,83477,0.0
589,9092,0.0
589,83652,0.0
589,102562,0.0
589,102563,0.0
589,102564,0.0
589,26668,0.0
66127,68794,0.0
66127,68805,0.0
66127,68811,0.0
66127,68812,0.0
66127,68813,0.0
66127,68827,0.0
66128,61663,0.0
66128,61668,0.0
66128,61684,0.0
66128,61601,0.0
66128,61603,0.0
66129,68832,0.0
66129,68833,0.0
66129,68834,0.0
66129,68839,0.0
66129,68840,0.0
66129,68859,0.0
66129,68867,0.0
66129,68886,0.0
66130,68832,0.0
66130,68833,0.0
66130,68834,0.0
66130,68839,0.0
66130,68840,0.0
66130,68859,0.0
66130,68867,0.0
66130,68886,0.0
66131,68832,0.0
66131,68833,0.0
66131,68834,0.0
66131,68839,0.0
66131,68840,0.0
66131,68859,0.0
66131,68867,0.0
66131,68886,0.0
66133,68832,0.0
66133,68833,0.0
66133,68834,0.0
66133,68839,0.0
66133,68859,0.0
66133,68867,0.0
66133,68886,0.0
605,6760,0.0
605,6742,0.0
605,29352,0.0
605,85791,0.0
605,29337,0.0
606,76722,0.0
606,76721,0.0
606,76723,0.0
606,79110,0.0
606,79112,0.0
606,76724,0.0
607,46266,0.0
607,46176,0.0
607,50036,0.0
607,50037,0.0
607,46268,0.0
607,106003,0.0
607,46174,0.0
608,118522,0.0
608,117262,0.0
608,22999,0.0
608,117288,0.0
608,117278,0.0
608,117279,0.0
608,119902,0.0
66143,68832,0.0
66143,68833,0.0
66143,68834,0.0
66143,68839,0.0
66143,68840,0.0
66143,68859,0.0
66143,68867,0.0
66143,68886,0.0
66146,56749,0.0
66146,56672,0.0
66146,56665,0.0
66146,56702,0.0
66146,56711,0.0
66146,56746,0.0
66148,61237,0.0
66148,61238,0.0
66148,61241,0.0
66148,61244,0.0
66148,61281,0.0
66148,61296,0.0
612,37762,0.0
612,37770,0.0
612,37620,0.0
612,21733,0.0
612,37759,0.0
612,52249,0.0
66152,68832,0.0
66152,68833,0.0
66152,68834,0.0
66152,68839,0.0
66152,68840,0.0
66152,68859,0.0
66152,68867,0.0
66152,68886,0.0
66154,56665,0.0
66154,56688,0.0
66154,56702,0.0
66154,56710,0.0
66154,56711,0.0
66154,56722,0.0
619,35642,0.0
619,46224,0.0
619,52376,0.0
619,52249,0.0
619,4485,0.0
619,90590,0.0
66163,56749,0.0
66163,56672,0.0
66163,56665,0.0
66163,56688,0.0
66163,56710,0.0
66163,56722,0.0
66163,56746,0.0
66170,61663,0.0
66170,61684,0.0
66170,61693,0.0
66170,61706,0.0
66170,61601,0.0
66170,61603,0.0
635,118670,0.0
635,87897,0.0
635,92370,0.0
66174,61663,0.0
66174,61668,0.0
66174,61693,0.0
66174,61706,0.0
66174,61601,0.0
66174,61603,0.0
66175,56749,0.0
66175,56672,0.0
66175,56665,0.0
66175,56688,0.0
66175,56702,0.0
66175,56710,0.0
66175,56711,0.0
66175,56722,0.0
66175,56746,0.0
66179,56749,0.0
66179,56672,0.0
66179,56665,0.0
66179,56688,0.0
66179,56702,0.0
66179,56710,0.0
66179,56711,0.0
66179,56722,0.0
66179,56746,0.0
66188,61668,0.0
66188,61684,0.0
66188,61693,0.0
66188,61706,0.0
66188,61601,0.0
66188,61603,0.0
66195,61663,0.0
66195,61668,0.0
66195,61684,0.0
66195,61693,0.0
66195,61706,0.0
66195,61603,0.0
663,76721,0.0
663,76723,0.0
663,79110,0.0
663,79112,0.0
663,79111,0.0
66199,56672,0.0
66199,56665,0.0
66199,56688,0.0
66199,56702,0.0
66199,56710,0.0
66199,56711,0.0
66199,56722,0.0
66201,70546,0.0
66201,70557,0.0
66204,70546,0.0
66204,70557,0.0
66204,70562,0.0
66207,70557,0.0
66207,70562,0.0
66208,70546,0.0
66208,70557,0.0
66208,70562,0.0
66209,61663,0.0
66209,61668,0.0
66209,61684,0.0
66209,61693,0.0
66209,61706,0.0
674,28080,0.0
674,89352,0.0
674,94411,0.0
674,117264,0.0
674,119392,0.0
66211,70546,0.0
66211,70562,0.0
679,96742,0.0
679,40310,0.0
679,882,0.0
679,108143,0.0
679,108144,0.0
679,108145,0.0
680,108150,0.0
680,40310,0.0
680,882,0.0
680,108143,0.0
680,108144,0.0
681,89735,0.0
681,89736,0.0
681,87052,0.0
